Date,Product,Category,Quantity,SellingPrice,CostPrice,Region,Customer
2023-07-01,Bookshelf,Furniture,19,3704.27,2335.29,East,Kapoor Goods
2023-07-01,USB-C Hub,Electronics,9,1409.61,869.47,Central,Joshi Wholesale
2023-07-02,Denim Jacket,Apparel,6,1735.22,909.68,West,Malhotra Trading
2023-07-03,Denim Jacket,Apparel,10,1745.6,952.97,North,Bose Retailers
2023-07-04,Water Bottle,Home,35,334.11,142.19,North,Bose Retailers
2023-07-04,Bluetooth Speaker,Electronics,12,2152.6,1340.35,North,Nair Commerce
2023-07-04,Bookshelf,Furniture,18,3443.58,2267.73,North,Chopra Bazaar
2023-07-05,Bluetooth Speaker,Electronics,29,2135.49,1342.99,North,Malhotra Trading
2023-07-05,Bookshelf,Furniture,7,3375.12,2251.48,Central,Kapoor Goods
2023-07-06,Wireless Mouse,Electronics,11,843.09,485.14,North,Gupta Enterprises
2023-07-06,Notebook Set,Stationery,18,238.21,92.6,South,Das & Sons
2023-07-07,Standing Desk,Furniture,18,12412.46,9213.55,North,Nair Commerce
2023-07-07,Cookware Set,Home,22,3790.42,2409.34,West,Verma Stores
2023-07-08,Cookware Set,Home,12,3886.52,2406.53,Central,Patel Mart
2023-07-08,Bookshelf,Furniture,22,3301.84,2268.83,North,Mehta Retail
2023-07-09,Notebook Set,Stationery,17,248.66,93.21,Central,Das & Sons
2023-07-10,Office Chair,Furniture,25,6826.33,4482.7,South,Verma Stores
2023-07-10,USB-C Hub,Electronics,19,1515.49,875.61,West,Khanna Outlets
2023-07-10,Premium Pen,Stationery,9,681.45,289.15,East,Iyer Supplies
2023-07-11,Denim Jacket,Apparel,6,1870.62,933.09,Central,Malhotra Trading
2023-07-11,Notebook Set,Stationery,14,234.46,96.54,West,Malhotra Trading
2023-07-11,Air Fryer,Home,7,5638.85,3469.63,North,Mehta Retail
2023-07-12,Cotton T-Shirt,Apparel,23,518.17,230.01,North,Bose Retailers
2023-07-12,Running Shoes,Apparel,12,2418.16,1358.62,North,Bose Retailers
2023-07-12,Cotton T-Shirt,Apparel,108,524.31,224.67,East,Iyer Supplies
2023-07-13,USB-C Hub,Electronics,11,1454.71,884.02,South,Sharma Traders
2023-07-13,Notebook Set,Stationery,6,257.82,96.72,South,Mehta Retail
2023-07-14,LED Desk Lamp,Home,10,1048.46,492.87,Central,Reddy Distributors
2023-07-15,Denim Jacket,Apparel,20,1780.6,948.89,East,Agarwal Mart
2023-07-15,Notebook Set,Stationery,19,263.49,95.16,West,Mehta Retail
2023-07-15,Standing Desk,Furniture,23,13063.13,9189.52,East,Kapoor Goods
2023-07-16,Bluetooth Speaker,Electronics,34,2114.51,1319.45,South,Verma Stores
2023-07-16,Bookshelf,Furniture,23,3463.05,2226.27,West,Sharma Traders
2023-07-17,LED Desk Lamp,Home,15,928.51,488.07,West,Sharma Traders
2023-07-17,Office Chair,Furniture,14,6446.88,4287.6,North,Sharma Traders
2023-07-18,Water Bottle,Home,41,299.86,136.34,South,Nair Commerce
2023-07-18,Bluetooth Speaker,Electronics,33,2056.08,1302,East,Singh Sales
2023-07-19,Bluetooth Speaker,Electronics,13,2153.31,1284.07,North,Joshi Wholesale
2023-07-19,Air Fryer,Home,24,4677.18,3463.44,South,Iyer Supplies
2023-07-20,Wireless Mouse,Electronics,12,808.9,482.63,North,Kapoor Goods
2023-07-21,USB-C Hub,Electronics,28,1473.61,851.95,West,Mehta Retail
2023-07-22,Denim Jacket,Apparel,11,1823.78,912.51,Central,Agarwal Mart
2023-07-23,Wireless Mouse,Electronics,9,763.1,498.39,South,Khanna Outlets
2023-07-23,USB-C Hub,Electronics,33,1546.67,847.26,South,Bose Retailers
2023-07-23,Bluetooth Speaker,Electronics,34,2010.2,1285.02,South,Patel Mart
2023-07-24,Premium Pen,Stationery,12,728.92,292.62,South,Chopra Bazaar
2023-07-24,Bookshelf,Furniture,14,3610.43,2260.52,Central,Patel Mart
2023-07-24,Bookshelf,Furniture,13,3647.75,2278.07,East,Nair Commerce
2023-07-25,Wireless Mouse,Electronics,10,797.17,509.36,West,Rao Merchandise
2023-07-26,Bookshelf,Furniture,15,3471.77,2271.5,Central,Patel Mart
2023-07-27,Standing Desk,Furniture,24,13223.39,9455.71,North,Reddy Distributors
2023-07-27,LED Desk Lamp,Home,9,995.04,502.75,South,Chopra Bazaar
2023-07-27,Water Bottle,Home,22,350.64,136.16,Central,Verma Stores
2023-07-28,Office Chair,Furniture,21,6173.67,4292.99,North,Bose Retailers
2023-07-28,LED Desk Lamp,Home,23,997.08,505.98,Central,Verma Stores
2023-07-29,Denim Jacket,Apparel,10,1755.27,960.54,North,Joshi Wholesale
2023-07-29,Denim Jacket,Apparel,6,1753.76,926.31,North,Nair Retail Hub
2023-07-30,Premium Pen,Stationery,14,611.88,291.53,South,Gupta Enterprises
2023-07-30,USB-C Hub,Electronics,14,1502.01,870.5,West,Bose Retailers
2023-07-30,Water Bottle,Home,35,346.81,141.31,East,Khanna Outlets
2023-07-31,Air Fryer,Home,16,5690.17,3481.96,North,Iyer Supplies
2023-07-31,Cotton T-Shirt,Apparel,21,518.84,223.85,Central,Reddy Distributors
2023-07-31,Standing Desk,Furniture,20,13294.19,9095,Central,Gupta Enterprises
2023-08-01,LED Desk Lamp,Home,26,1011.76,499.96,North,Gupta Enterprises
2023-08-02,Premium Pen,Stationery,54,721.92,287.87,Central,Gupta Enterprises
2023-08-02,Bookshelf,Furniture,16,3268.72,2292.05,West,Khanna Outlets
2023-08-02,Water Bottle,Home,37,348.08,142.22,Central,Verma Stores
2023-08-03,Notebook Set,Stationery,22,245.91,96.48,East,Das & Sons
